table,cell,printed
Table 4,"A2_imperative_free compliance, 3B, position 0",0.068
Table 4,A2_imperative_free candidate survival P(E|D0),1.0
Table 4,"A3_semantic_camouflage compliance, 1.5B, position 0",0.0
Table 4,"A3_semantic_camouflage compliance, 3B, position 0",0.01
Table 4,A3_semantic_camouflage candidate survival P(E|D0),1.0
Table 4,"A4_length_matched compliance, 1.5B, position 0",0.0
Table 4,"A4_length_matched compliance, 3B, position 0",0.013
Table 4,A4_length_matched candidate survival P(E|D0),1.0
Table 4,"A5_score_guided compliance, 1.5B, position 0",0.0
Table 4,"A5_score_guided compliance, 3B, position 0",0.013
Table 4,A5_score_guided candidate survival P(E|D0),1.0
Table 4,"A6_split_payload compliance, 1.5B, position 0",0.0
Table 4,"A6_split_payload compliance, 3B, position 0",0.0
Table 4,A6_split_payload candidate survival P(E|D0),1.0
Table 4,"mean compliance over A1-A6, 3B, position 0",0.017
Table 4,episodes per behavioural cell,400.0
Table 4,"tool selection, poisoned inventory, 1.5B",0.4
Table 4,"tool selection, clean inventory, 1.5B",0.0
Table 4,"tool selection episodes per cell, 1.5B",100.0
Table 4,"tool selection, poisoned inventory, 3B",0.6
Table 4,"tool selection, clean inventory, 3B",0.0
Table 4,"tool selection episodes per cell, 3B",100.0
Section 6,tool selection 1.5B CI low,0.303
Section 6,tool selection 1.5B CI high,0.503
Section 6,tool selection 3B CI low,0.497
Section 6,tool selection 3B CI high,0.697
Section 6,"clean-episode exact match, 1.5B",0.122
Section 6,"clean-episode exact match, 3B",0.022
Section 6,"clean-episode token-F1, 1.5B",0.411
Section 6,"clean-episode token-F1, 3B",0.338
Section 6,"compliance at rank 0, over models x prompts x A0-A6",0.022
Section 6,"compliance at rank 2, over models x prompts x A0-A6",0.0004
Section 6,"compliance at rank 4, over models x prompts x A0-A6",0.0003
Section 6,"3B, warning prompt, rank 0",0.071
Section 6,"3B, warning prompt, rank 2",0.0011
Section 6,"3B, plain prompt, all positions",0.0049
Section 6,"3B, warning prompt, all positions",0.0245
Figure 6,"QA compliance, 3B, position 0, A1-A6",0.017
Figure 6,"QA compliance, 3B, averaged over positions, A1-A6",0.006
Figure 6,"tool selection, 3B",0.6
Table 5,A1_query_conditioned P(E|D0),0.99
Table 5,"A1_query_conditioned P(C|E,D0)",0.55
Table 5,A1_query_conditioned P(E|D3),0.03
Table 5,"A1_query_conditioned P(C|E,D3)",0.667
Table 5,A1_query_conditioned Wilson interval low,0.35
Table 5,A1_query_conditioned Wilson interval high,0.88
Table 5,A1_query_conditioned P(C|D3),0.02
Table 5,A2_imperative_free P(E|D0),1.0
Table 5,"A2_imperative_free P(C|E,D0)",0.47
Table 5,A2_imperative_free P(E|D3),0.023
Table 5,"A2_imperative_free P(C|E,D3)",0.857
Table 5,A2_imperative_free Wilson interval low,0.49
Table 5,A2_imperative_free Wilson interval high,0.97
Table 5,A2_imperative_free P(C|D3),0.02
Table 5,A3_semantic_camouflage P(E|D0),1.0
Table 5,"A3_semantic_camouflage P(C|E,D0)",0.103
Table 5,A3_semantic_camouflage P(E|D3),0.99
Table 5,"A3_semantic_camouflage P(C|E,D3)",0.105
Table 5,A3_semantic_camouflage Wilson interval low,0.07
Table 5,A3_semantic_camouflage Wilson interval high,0.14
Table 5,A3_semantic_camouflage P(C|D3),0.1033
Table 5,A4_length_matched P(E|D0),1.0
Table 5,"A4_length_matched P(C|E,D0)",0.327
Table 5,A4_length_matched P(E|D3),0.68
Table 5,"A4_length_matched P(C|E,D3)",0.325
Table 5,A4_length_matched Wilson interval low,0.26
Table 5,A4_length_matched Wilson interval high,0.39
Table 5,A4_length_matched P(C|D3),0.22
Table 5,A5_score_guided P(E|D3),0.68
Table 5,"A5_score_guided P(C|E,D3)",0.195
Table 5,A5_score_guided Wilson interval low,0.1
Table 5,A5_score_guided Wilson interval high,0.34
Table 5,A5_score_guided P(C|D3),0.1333
Table 5,A6_split_payload P(E|D0),1.0
Table 5,"A6_split_payload P(C|E,D0)",0.0
Table 5,A6_split_payload P(E|D3),0.93
Table 5,"A6_split_payload P(C|E,D3)",0.0
Table 5,A6_split_payload Wilson interval low,0.0
Table 5,A6_split_payload Wilson interval high,0.01
Table 5,A6_split_payload P(C|D3),0.0
Abstract,A2 x D3 surviving documents,7.0
Abstract,A2 x D3 compliant survivors,6.0
Abstract,A2 undefended compliant episodes,141.0
Abstract,"A2 exposure under D3, 7/300",0.0233
Abstract,"A2 survivor compliance, 6/7",0.857
Abstract,"A2 undefended compliance, 141/300",0.47
Table 6,"identity P(C|D) = P(C|E,D) P(E|D), maximum absolute error",0.0
Remark 3,maximal cell of the detector with the lowest worst case,295.0
Remark 3,"its two-sided Clopper-Pearson interval, low",0.962
Remark 3,"its two-sided Clopper-Pearson interval, high",0.995
Remark 3,"simultaneous one-sided lower bound, K=6 (Proposition 3)",0.956
Table 14,scifact budget 0 nDCG@10,0.76
Table 14,scifact budget 0 p50 latency,40.0
Table 14,scifact budget 0 p95 latency,44.0
Table 14,scifact budget 0 p99 latency,46.0
Table 14,scifact budget 0 rerank stage,0.0
Table 14,scifact budget 0 filter stage,29.0
Table 14,scifact budget 0 retrieve+fuse stage,11.0
Table 14,scifact budget 10 nDCG@10,0.738
Table 14,scifact budget 10 p50 latency,79.0
Table 14,scifact budget 10 p95 latency,83.0
Table 14,scifact budget 10 p99 latency,86.0
Table 14,scifact budget 10 rerank stage,35.0
Table 14,scifact budget 10 filter stage,32.0
Table 14,scifact budget 10 retrieve+fuse stage,12.0
Table 14,scifact budget 50 nDCG@10,0.722
Table 14,scifact budget 50 p50 latency,246.0
Table 14,scifact budget 50 p95 latency,261.0
Table 14,scifact budget 50 p99 latency,264.0
Table 14,scifact budget 50 rerank stage,198.0
Table 14,scifact budget 50 filter stage,37.0
Table 14,scifact budget 50 retrieve+fuse stage,13.0
Table 14,scifact budget 100 nDCG@10,0.72
Table 14,scifact budget 100 p50 latency,463.0
Table 14,scifact budget 100 p95 latency,487.0
Table 14,scifact budget 100 p99 latency,495.0
Table 14,scifact budget 100 rerank stage,416.0
Table 14,scifact budget 100 filter stage,36.0
Table 14,scifact budget 100 retrieve+fuse stage,13.0
Table 14,fiqa budget 0 nDCG@10,0.433
Table 14,fiqa budget 0 p50 latency,39.0
Table 14,fiqa budget 0 p95 latency,42.0
Table 14,fiqa budget 0 p99 latency,44.0
Table 14,fiqa budget 0 rerank stage,0.0
Table 14,fiqa budget 0 filter stage,28.0
Table 14,fiqa budget 0 retrieve+fuse stage,11.0
Table 14,fiqa budget 10 nDCG@10,0.417
Table 14,fiqa budget 10 p50 latency,76.0
Table 14,fiqa budget 10 p95 latency,80.0
Table 14,fiqa budget 10 p99 latency,83.0
Table 14,fiqa budget 10 rerank stage,34.0
Table 14,fiqa budget 10 filter stage,30.0
Table 14,fiqa budget 10 retrieve+fuse stage,12.0
Table 14,fiqa budget 50 nDCG@10,0.39
Table 14,fiqa budget 50 p50 latency,242.0
Table 14,fiqa budget 50 p95 latency,248.0
Table 14,fiqa budget 50 p99 latency,253.0
Table 14,fiqa budget 50 rerank stage,192.0
Table 14,fiqa budget 50 filter stage,36.0
Table 14,fiqa budget 50 retrieve+fuse stage,13.0
Table 14,fiqa budget 100 nDCG@10,0.386
Table 14,fiqa budget 100 p50 latency,447.0
Table 14,fiqa budget 100 p95 latency,461.0
Table 14,fiqa budget 100 p99 latency,465.0
Table 14,fiqa budget 100 rerank stage,399.0
Table 14,fiqa budget 100 filter stage,35.0
Table 14,fiqa budget 100 retrieve+fuse stage,13.0
