table,cell,printed,regenerated,tolerance,source,status
Table 2,"oracle5_post query-weighted delta vs dense, budget 0",0.0722,0.0722,6e-05,recomputed,PASS
Table 2,"oracle5_post bootstrap CI low, budget 0",0.0675,0.0676,0.0006,recomputed,PASS
Table 2,"oracle5_post bootstrap CI high, budget 0",0.0769,0.077,0.0006,recomputed,PASS
Table 2,"oracle5_post query-weighted delta vs dense, budget 100",0.0129,0.0129,6e-05,recomputed,PASS
Table 2,"oracle5_post bootstrap CI low, budget 100",0.011,0.0109,0.0006,recomputed,PASS
Table 2,"oracle5_post bootstrap CI high, budget 100",0.015,0.0149,0.0006,recomputed,PASS
Table 10,arguana |D|,8674.0,8674.0,0.0,recomputed,PASS
Table 10,arguana |Q|,1406.0,1406.0,0.0,recomputed,PASS
Table 10,arguana bm25 budget 0,0.306,0.306361,0.0006,recomputed,PASS
Table 10,arguana bm25 budget 100 (CE top-100),0.321,0.320719,0.0006,recomputed,PASS
Table 10,arguana dense budget 0,0.37,0.370313,0.0006,recomputed,PASS
Table 10,arguana dense budget 100 (CE top-100),0.319,0.318872,0.0006,recomputed,PASS
Table 10,arguana rrf budget 0,0.368,0.368423,0.0006,recomputed,PASS
Table 10,arguana rrf budget 100 (CE top-100),0.316,0.31646,0.0006,recomputed,PASS
Table 10,arguana alpha_fixed budget 0,0.381,0.380651,0.0006,recomputed,PASS
Table 10,arguana alpha_fixed budget 100 (CE top-100),0.318,0.318235,0.0006,recomputed,PASS
Table 10,arguana alpha_learned budget 0,0.359,0.359451,0.0006,recomputed,PASS
Table 10,arguana alpha_learned budget 100 (CE top-100),0.316,0.315822,0.0006,recomputed,PASS
Table 10,arguana alpha_learned_override budget 0,0.374,0.373645,0.0006,recomputed,PASS
Table 10,arguana alpha_learned_override budget 100 (CE top-100),0.319,0.318614,0.0006,recomputed,PASS
Table 10,arguana alpha_oracle budget 0,0.44,0.439778,0.0006,recomputed,PASS
Table 10,arguana alpha_oracle budget 100 (CE top-100),0.319,0.319129,0.0006,recomputed,PASS
Table 10,fiqa |D|,57638.0,57638.0,0.0,recomputed,PASS
Table 10,fiqa |Q|,648.0,648.0,0.0,recomputed,PASS
Table 10,fiqa bm25 budget 0,0.238,0.238493,0.0006,recomputed,PASS
Table 10,fiqa bm25 budget 100 (CE top-100),0.348,0.34838,0.0006,recomputed,PASS
Table 10,fiqa dense budget 0,0.368,0.368122,0.0006,recomputed,PASS
Table 10,fiqa dense budget 100 (CE top-100),0.378,0.378435,0.0006,recomputed,PASS
Table 10,fiqa rrf budget 0,0.374,0.374452,0.0006,recomputed,PASS
Table 10,fiqa rrf budget 100 (CE top-100),0.37,0.370148,0.0006,recomputed,PASS
Table 10,fiqa alpha_fixed budget 0,0.405,0.404743,0.0006,recomputed,PASS
Table 10,fiqa alpha_fixed budget 100 (CE top-100),0.376,0.376487,0.0006,recomputed,PASS
Table 10,fiqa alpha_learned budget 0,0.366,0.366444,0.0006,recomputed,PASS
Table 10,fiqa alpha_learned budget 100 (CE top-100),0.367,0.366994,0.0006,recomputed,PASS
Table 10,fiqa alpha_learned_override budget 0,0.367,0.367109,0.0006,recomputed,PASS
Table 10,fiqa alpha_learned_override budget 100 (CE top-100),0.367,0.367045,0.0006,recomputed,PASS
Table 10,fiqa alpha_oracle budget 0,0.48,0.47975,0.0006,recomputed,PASS
Table 10,fiqa alpha_oracle budget 100 (CE top-100),0.374,0.37372,0.0006,recomputed,PASS
Table 10,nfcorpus |D|,3633.0,3633.0,0.0,recomputed,PASS
Table 10,nfcorpus |Q|,323.0,323.0,0.0,recomputed,PASS
Table 10,nfcorpus bm25 budget 0,0.318,0.318436,0.0006,recomputed,PASS
Table 10,nfcorpus bm25 budget 100 (CE top-100),0.35,0.349918,0.0006,recomputed,PASS
Table 10,nfcorpus dense budget 0,0.316,0.315879,0.0006,recomputed,PASS
Table 10,nfcorpus dense budget 100 (CE top-100),0.343,0.342521,0.0006,recomputed,PASS
Table 10,nfcorpus rrf budget 0,0.342,0.342256,0.0006,recomputed,PASS
Table 10,nfcorpus rrf budget 100 (CE top-100),0.356,0.355793,0.0006,recomputed,PASS
Table 10,nfcorpus alpha_fixed budget 0,0.337,0.337235,0.0006,recomputed,PASS
Table 10,nfcorpus alpha_fixed budget 100 (CE top-100),0.349,0.349424,0.0006,recomputed,PASS
Table 10,nfcorpus alpha_learned budget 0,0.358,0.35788,0.0006,recomputed,PASS
Table 10,nfcorpus alpha_learned budget 100 (CE top-100),0.353,0.353032,0.0006,recomputed,PASS
