dataset,n_docs,rerank_budget,ndcg10,p50_ms,p95_ms,p99_ms,stage_rerank_ms,stage_filter_ms,retrieve_fuse_ms
scifact,5183,0,0.76,39.866,43.627,45.895,0.011,29.153,11.025
scifact,5183,10,0.738,78.561,82.888,86.063,35.059,31.817,11.724
scifact,5183,50,0.722,246.303,260.636,264.452,198.145,36.969,12.738
scifact,5183,100,0.72,463.125,487.285,494.942,416.279,36.485,12.629
fiqa,57638,0,0.433,38.972,42.334,44.209,0.011,27.586,11.372
fiqa,57638,10,0.417,75.657,80.065,83.164,33.558,29.971,11.962
fiqa,57638,50,0.39,241.679,247.573,253.186,192.418,36.179,13.104
fiqa,57638,100,0.386,446.617,460.52,464.58,398.959,35.077,13.308
