first_stage,ndcg10_macro_budget0,ndcg10_macro_budget50,ndcg10_macro_budget100,delta_vs_dense_budget0,ci_low_budget0,ci_high_budget0,n_queries,delta_vs_dense_budget100,ci_low_budget100,ci_high_budget100
bm25,0.3798,0.4294,0.435,-0.0601,-0.0684,-0.0523,3727,-0.008,-0.0112,-0.0048
dense,0.3977,0.4314,0.4377,0.0,0.0,0.0,3727,0.0,0.0,0.0
rrf,0.4495,0.4452,0.4406,0.0065,0.0005,0.0122,3727,-0.004,-0.006,-0.0019
alpha_fixed,0.4303,0.4404,0.4396,0.0177,0.0147,0.0207,3727,-0.0011,-0.0024,0.0004
alpha_learned,0.4487,0.4442,0.4405,0.0014,-0.005,0.0077,3727,-0.0049,-0.007,-0.0027
alpha_learned_override,0.4387,0.4405,0.4394,0.0061,0.0008,0.0113,3727,-0.0039,-0.0059,-0.0019
alpha_oracle,0.5239,0.4503,0.4454,0.0809,0.0762,0.0859,3727,-0.0008,-0.003,0.0014
oracle5_post,0.5115,0.4752,0.466,0.0722,0.0676,0.077,3727,0.0129,0.0109,0.0149
